#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages
1,agile vs waterfall,us,11,3700,0.05,1.04,waterfall vs agile,2025-12-22 13:14:19,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",12000,5700,12000,2015-09-01,"Informational,Non-branded,Non-local",English
2,agile project management tools,us,48,1500,0.20,1.13,agile project management software,2025-12-20 21:08:35,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Top stories,Bottom ads,Video preview",3700,4400,6200,2015-09-17,"Informational,Non-branded,Non-local",English
3,project management software free,us,70,1300,7.00,1.22,free project management software,2025-12-14 08:02:53,"Top ads,Paid sitelinks,AI Overview,Thumbnail,Sitelinks,People also ask,Bottom ads",2700,31000,52000,2015-09-03,"Informational,Non-branded,Non-local",English
4,agile project management methodology,us,55,1200,0.15,1.24,agile project management,2025-12-01 04:58:08,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview,Bottom ads",2900,5200,15000,2015-09-09,"Informational,Non-branded,Non-local",English
5,kanban board software,us,59,1000,2.00,0.92,free kanban board,2025-12-09 19:34:22,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",1800,2600,4100,2015-09-15,"Informational,Commercial,Non-branded,Non-local",English
6,kanban board template,us,10,900,2.50,,kanban board template,2025-12-15 21:34:30,"Top ads,Paid sitelinks,Thumbnail,People also ask,Sitelinks,Bottom ads,Video preview",2500,800,1400,2016-01-20,"Informational,Non-branded,Non-local",English
7,project management software comparison,us,49,800,0.30,1.39,project management software,2025-12-17 07:57:02,"Sitelinks,AI Overview,Video preview,Thumbnail,Discussions,Bottom ads,Paid sitelinks",1400,54000,93000,2015-10-24,"Informational,Commercial,Non-branded,Non-local",English
8,agile retrospective,us,39,700,0.35,0.87,agile retrospective,2025-12-20 00:56:43,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",2300,600,1300,2015-09-22,"Informational,Non-branded,Non-local",English
9,github pages custom domain,us,24,700,3.50,1.14,github pages custom domain,2025-12-21 08:06:44,"Sitelinks,Top stories,Thumbnail,Video preview",2100,700,1100,2015-09-17,"Informational,Branded,Non-local",English
10,simple project management software,us,82,700,0.70,1.22,project management tools,2025-12-21 17:14:40,"Top ads,Paid sitelinks,Sitelinks,People also ask,Bottom ads,Video preview",1400,33000,53000,2015-09-02,"Informational,Commercial,Non-branded,Non-local",English
11,agile sprint planning,us,11,500,0.50,0.84,agile sprint planning,2025-11-20 02:12:15,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",1400,1600,3800,2015-09-01,"Informational,Non-branded,Non-local",English
12,open source project management software,us,90,400,3.00,1.16,openproject,2025-12-09 01:36:00,"Top ads,AI Overview,Thumbnail,Sitelinks,Bottom ads,Paid sitelinks,Video preview",1400,8200,27000,2015-09-04,"Informational,Non-branded,Non-local",English
13,github pages tutorial,us,52,350,0.30,1.42,how to use github pages,2025-12-17 13:16:10,"AI Overview,Thumbnail,Video preview,Sitelinks,Top stories",700,1000,1600,2015-11-14,"Informational,Branded,Non-local",English
14,github pages free hosting,us,,350,1.60,,,,,800,,,2015-09-12,,
15,kanban board examples,us,9,300,1.70,,kanban board example,2025-12-09 19:34:07,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",800,700,1200,2015-10-22,"Informational,Non-branded,Non-local",English
16,project management software for small teams,us,59,300,0.40,,project management software,2025-11-30 04:39:17,"Sitelinks,Discussions,People also ask,Video preview",450,66000,112000,2016-05-19,"Informational,Commercial,Non-branded,Non-local",English
17,digital kanban board,us,11,250,4.00,,free kanban board,2025-12-17 12:39:23,"Sitelinks,People also ask,Shopping,Thumbnail,Video preview",700,2900,4400,2016-10-05,"Informational,Commercial,Non-branded,Non-local",English
18,best project management software for startups,us,0,200,17.00,,project management tools for startups,2025-12-10 12:37:53,"Top ads,Paid sitelinks,Sitelinks,AI Overview,Thumbnail,Discussions,Top stories,Bottom ads,Video preview",300,90,90,2017-03-26,"Informational,Commercial,Non-branded,Non-local",English
19,agile project management examples,us,5,200,1.20,,agile project management examples,2025-11-26 01:39:37,"AI Overview,Thumbnail,People also ask,Sitelinks",700,300,300,2016-05-19,"Informational,Non-branded,Non-local",English
20,project management software for developers,us,83,150,11.00,,software development project management tools,2025-12-15 17:09:37,"Sitelinks,Top stories,Thumbnail",250,250,250,2017-11-29,"Informational,Commercial,Non-branded,Non-local",English
21,github pages jekyll,us,0,150,0.30,1.2,jekyll github pages,2025-11-18 06:39:13,"AI Overview,Sitelinks",450,350,350,2015-09-16,"Informational,Branded,Non-local",English
22,kanban board online free,us,12,150,5.00,,free kanban board,2025-12-22 18:05:42,Sitelinks,300,700,800,2017-05-08,"Informational,Non-branded,Non-local",English
23,kanban board vs scrum board,us,16,100,0.05,,kanban vs scrum,2025-11-26 03:26:05,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions",600,6400,12000,2015-11-06,"Informational,Non-branded,Non-local",English
24,github pages hosting,us,24,100,2.00,,github pages,2025-12-14 09:18:47,"Sitelinks,People also ask,Top stories,Thumbnail",200,23000,74000,2016-02-11,"Informational,Branded,Non-local",English
25,kanban board best practices,us,4,60,2.50,,kanban principles,2025-12-14 11:38:21,"Sitelinks,People also ask",100,300,600,2020-01-17,"Informational,Non-branded,Non-local",English
26,github pages react,us,63,60,0.70,1.42,deploy react app to github pages,2025-11-24 22:38:57,"Sitelinks,People also ask",200,100,250,2017-02-06,"Informational,Branded,Non-local",English
27,github pages deploy,us,37,60,,,how to deploy to github pages,2025-11-22 04:51:43,"Sitelinks,Top stories,Thumbnail",400,300,600,2019-01-05,"Informational,Branded,Non-local",English
28,kanban board for personal use,us,4,40,3.00,,kanban board app,2025-12-04 14:02:49,"Sitelinks,People also ask,Discussions",80,450,500,2017-03-27,"Informational,Non-branded,Non-local",English
